#element = H,C,N,O,S,HDeut,C13,N15,018 N term of an AA = NH and not NH2/ c term of an AA = CO and not COOH
#aminoacids
Header=H,C,N,O,S,HDeut,C13,N15,018
A=5,3,1,1,0,0,0,0,0
R=12,6,4,1,0,0,0,0,0
N=6,4,2,2,0,0,0,0,0
D=5,4,1,3,0,0,0,0,0
C=5,3,1,1,1,0,0,0,0
E=7,5,1,3,0,0,0,0,0
Q=8,5,2,2,0,0,0,0,0
G=3,2,1,1,0,0,0,0,0
H=7,6,3,1,0,0,0,0,0
I=11,6,1,1,0,0,0,0,0
L=11,6,1,1,0,0,0,0,0
K=12,6,2,1,0,0,0,0,0
M=9,5,1,1,1,0,0,0,0
F=9,9,1,1,0,0,0,0,0
P=7,5,1,1,0,0,0,0,0
S=5,3,1,2,0,0,0,0,0
T=7,4,1,2,0,0,0,0,0
W=10,11,2,1,0,0,0,0,0
Y=9,9,1,2,0,0,0,0,0
V=9,5,1,1,0,0,0,0,0
